TC_ID,TC Name,TC Desciption,Test Step,Test Data,Test Result
,,,2. Click on User & Group link,,user & group page should be displayed
,,,3. Click on List of group Link,,List of groups page should be diaplayed
,,,4. Click on a group,Group : Tesla,Group page should be displayed
,,,5. Add Member to the Group,,
,,,7. Click on List of users,Elon Musk,list of User page should be displayed
,,,8. Click on the User who is Added to the Group,,User page should be displayed
,,,9. Check group is displayed ,,Group Name should be displaye
Stratos_Home_ITS05,Admin > Home Tab > SetUp > Modules  [To] User > Home Page,"""When Admin Turns Off Modules 'HR', Modules Should Disappear From user Page""",1.Login to Application as Super Admin,UserName : admin Password : admin123,Home Page Should Displayed
,,,2. Click on Setup,,Setup page should be displayed
,,,3. Turn off ALL HR Module,,
,,,4. Click on Profile and Sign Out,,Login Pge should be displayed
,,,5. Login as User,Elon Musk,User Home page Should Be Displayed
,,,7. Check HR Module is Disabled,,HR Modules Should be Displayed
Stratos_Home_ITS06,Admin > Home Tab > SetUp > Modules  [To] User > Home Page,"""When Admin Turns Off Modules 'CRM', Modules Should Disappear From user Page""",1.Login to Application as Super Admin,UserName : admin Password : admin123,Home Page Should Displayed
,,,2. Click on Setup,,Setup page should be displayed
,,,3. Turn off ALL CRM Module,,
,,,4. Click on Profile and Sign Out,,Login Pge should be displayed
,,,5. Login as User,Elon Musk,User Home page Should Be Displayed
,,,7. Check CRM Module is Disabled,,CRM Modules Should be Displayed
Stratos_Home_ITS07,Admin > Home Tab > SetUp > Modules  [To] User > Home Page,"""When Admin Turns Off Modules 'VRM', Modules Should Disappear From user Page""",1.Login to Application as Super Admin,UserName : admin Password : admin123,Home Page Should Displayed
,,,2. Click on Setup,,Setup page should be displayed
,,,3. Turn off ALL VRM Module,,
,,,4. Click on Profile and Sign Out,,Login Pge should be displayed
,,,5. Login as User,Elon Musk,User Home page Should Be Displayed
,,,7. Check VRM Module is Disabled,,VRM Modules Should be Displayed
Stratos_Home_ITS08,Admin > Home Tab > SetUp > Modules  [To] User > Home Page,"""When Admin Turns Off Modules 'Accounting', Modules Should Disappear From user Page""",1.Login to Application as Super Admin,UserName : admin Password : admin123,Home Page Should Displayed
,,,2. Click on Setup,,Setup page should be displayed
,,,3. Turn off ALL Accounting Module,,
,,,4. Click on Profile and Sign Out,,Login Pge should be displayed
,,,5. Login as User,Elon Musk,User Home page Should Be Displayed
,,,7. Check Accounting Module is Disabled,,Accounting Modules Should be Displayed
Stratos_Home_ITS09,Admin > Home Tab > SetUp > Modules  [To] User > Home Page,"""When Admin Turns Off Modules 'PM', Modules Should Disappear From user Page""",1.Login to Application as Super Admin,UserName : admin Password : admin123,Home Page Should Displayed
,,,2. Click on Setup,,Setup page should be displayed
,,,3. Turn off ALL PM Module,,
,,,4. Click on Profile and Sign Out,,Login Pge should be displayed
,,,5. Login as User,Elon Musk,User Home page Should Be Displayed
,,,7. Check PM Module is Disabled,,PM Modules Should be Displayed
Stratos_Home_ITS10,Admin > Home Tab > SetUp > Modules  [To] User > Home Page,"""When Admin Turns Off Modules 'Projects', Modules Should Disappear From user Page""",1.Login to Application as Super Admin,UserName : admin Password : admin123,Home Page Should Displayed
,,,2. Click on Setup,,Setup page should be displayed
,,,3. Turn off ALL Projects Module,,
,,,4. Click on Profile and Sign Out,,Login Pge should be displayed
,,,5. Login as User,Elon Musk,User Home page Should Be Displayed
,,,7. Check Projects Module is Disabled,,Projects Modules Should be Displayed
Stratos_Home_ITS11,Admin > Home Tab > SetUp > Modules  [To] User > Home Page,"""When Admin Turns Off Modules 'ECM', Modules Should Disappear From user Page""",1.Login to Application as Super Admin,UserName : admin Password : admin123,Home Page Should Displayed
,,,2. Click on Setup,,Setup page should be displayed
,,,3. Turn off ALL ECM Module,,
,,,4. Click on Profile and Sign Out,,Login Pge should be displayed
,,,5. Login as User,Elon Musk,User Home page Should Be Displayed
,,,7. Check ECM Module is Disabled,,ECM Modules Should be Displayed
Stratos_Home_ITS12,Admin > Home Tab > SetUp > Modules  [To] User > Home Page,"""When Admin Turns Off Modules 'Multi Module', Modules Should Disappear From user Page""",1.Login to Application as Super Admin,UserName : admin Password : admin123,Home Page Should Displayed
,,,2. Click on Setup,,Setup page should be displayed
,,,3. Turn off ALL Multi Module Module,,
,,,4. Click on Profile and Sign Out,,Login Pge should be displayed
,,,5. Login as User,Elon Musk,User Home page Should Be Displayed
,,,7. Check Multi Module Module is Disabled,,Multi Module Modules Should be Displayed
Stratos_Home_ITS13,Admin > Home Tab > SetUp > Modules  [To] User > Home Page,"""When Admin Turns Off Modules 'Website', Modules Should Disappear From user Page""",1.Login to Application as Super Admin,UserName : admin Password : admin123,Home Page Should Displayed
,,,2. Click on Setup,,Setup page should be displayed
,,,3. Turn off ALL Website Module,,
,,,4. Click on Profile and Sign Out,,Login Pge should be displayed
,,,5. Login as User,Elon Musk,User Home page Should Be Displayed
,,,7. Check Website Module is Disabled,,Website Modules Should be Displayed
Stratos_Home_ITS14,Admin > Home Tab > SetUp > Modules  [To] User > Home Page,"""When Admin Turns Off Modules 'Interfaces', Modules Should Disappear From user Page""",1.Login to Application as Super Admin,UserName : admin Password : admin123,Home Page Should Displayed
,,,2. Click on Setup,,Setup page should be displayed
,,,3. Turn off ALL Intterfaces Module,,
,,,4. Click on Profile and Sign Out,,Login Pge should be displayed
,,,5. Login as User,Elon Musk,User Home page Should Be Displayed
,,,7. Check Intterfaces Module is Disabled,,Intterfaces Modules Should be Displayed
Stratos_Home_ITS15,Admin > Home Tab > SetUp > Modules  [To] User > Home Page,"""When Admin Turns Off Modules 'System', Modules Should Disappear From user Page""",1.Login to Application as Super Admin,UserName : admin Password : admin123,Home Page Should Displayed
,,,2. Click on Setup,,Setup page should be displayed
,,,3. Turn off ALL System Module,,
,,,4. Click on Profile and Sign Out,,Login Pge should be displayed
,,,5. Login as User,Elon Musk,User Home page Should Be Displayed
,,,7. Check System Module is Disabled,,System Modules Should be Displayed
